model,condition,metric,n_pairs,mean,ci95_low,ci95_high,scope,vader_note
deepseek-v4-pro,A_BASE,bleu,120,0.27197833046575004,0.24077259105926926,0.30609492883065487,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,A_BASE,cosine_similarity,120,0.7784640977780024,0.762458333671093,0.7945531447107593,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,A_BASE,rouge_l,120,0.47627100409674955,0.44778086504124487,0.5071501628242466,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,A_BASE,sentiment_bias,120,0.021508333333333334,0.015116458333333334,0.02837562499999999,SECONDARY_ROBUSTNESS,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
deepseek-v4-pro,B_FAIRNESS,bleu,120,0.2676168393286881,0.23567229948330823,0.29996692690476345,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,B_FAIRNESS,cosine_similarity,120,0.7806070019801458,0.7637172243495782,0.797220202498138,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,B_FAIRNESS,rouge_l,120,0.48074183070443666,0.45296614979892935,0.5096637253764643,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,B_FAIRNESS,sentiment_bias,120,0.018416666666666668,0.013075000000000002,0.0243,SECONDARY_ROBUSTNESS,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gemini-3.7-flash,A_BASE,bleu,120,0.3744241581281526,0.34355517744173214,0.4046176723438353,PRIMARY,
gemini-3.7-flash,A_BASE,cosine_similarity,120,0.8313415745894114,0.8175053459530075,0.8442973136032621,PRIMARY,
gemini-3.7-flash,A_BASE,rouge_l,120,0.5975734956418731,0.5705548977155523,0.6236004701728203,PRIMARY,
gemini-3.7-flash,A_BASE,sentiment_bias,120,0.0068916666666666675,0.003991458333333334,0.010291874999999997,PRIMARY,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gemini-3.7-flash,B_FAIRNESS,bleu,120,0.3950819331657401,0.3651554832911084,0.4250937682380258,PRIMARY,
gemini-3.7-flash,B_FAIRNESS,cosine_similarity,120,0.8330975328882535,0.8200857916971047,0.8460112585872411,PRIMARY,
gemini-3.7-flash,B_FAIRNESS,rouge_l,120,0.6159150503638063,0.5911610482042399,0.6406741325175933,PRIMARY,
gemini-3.7-flash,B_FAIRNESS,sentiment_bias,120,0.00495,0.0026500000000000004,0.007716874999999998,PRIMARY,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gemma-3n-e4b-it-text,A_BASE,bleu,120,0.4723872801256003,0.4213822684356002,0.5289785788294485,PRIMARY,
gemma-3n-e4b-it-text,A_BASE,cosine_similarity,120,0.8385019212961197,0.8190255887930592,0.8590126205484072,PRIMARY,
gemma-3n-e4b-it-text,A_BASE,rouge_l,120,0.5878889609810154,0.5437098958837097,0.6370098631788268,PRIMARY,
gemma-3n-e4b-it-text,A_BASE,sentiment_bias,120,0.010166666666666668,0.007333333333333333,0.013166874999999996,PRIMARY,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gemma-3n-e4b-it-text,B_FAIRNESS,bleu,120,0.478504470204985,0.42958851489319133,0.5293875764512178,PRIMARY,
gemma-3n-e4b-it-text,B_FAIRNESS,cosine_similarity,120,0.8467518990238507,0.8287905544166763,0.8644174908970793,PRIMARY,
gemma-3n-e4b-it-text,B_FAIRNESS,rouge_l,120,0.6055957933685,0.5643144667094289,0.6494564002422631,PRIMARY,
gemma-3n-e4b-it-text,B_FAIRNESS,sentiment_bias,120,0.012841666666666666,0.009374583333333334,0.01661666666666667,PRIMARY,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gemma-4-31b-it,A_BASE,bleu,120,0.5461878777419021,0.4982891301680615,0.5955741085473157,PRIMARY,
gemma-4-31b-it,A_BASE,cosine_similarity,120,0.8669994314511617,0.8486167948568861,0.8853614806383847,PRIMARY,
gemma-4-31b-it,A_BASE,rouge_l,120,0.7042764735871759,0.6655663561812533,0.7433626899862702,PRIMARY,
