private_artifact,location,tipo_contenido,prohibido_en_publico,sustituto_publicable,estado
research/fairness-audit/human_validation_v2/server-private-v2/tokens.csv,"local + replica en Hostinger domains/ayseltech.com/human_validation_private_v2/tokens.csv",tokens hex64 + evaluador_id + nombres de evaluadores,SI (nombres y tokens),conteos agregados de MASTER_NUMBERS.csv filas H-*,PRIVADO
research/fairness-audit/human_validation_v2/key.csv,local (fuera de publication-repository),mapeo de desenmascaramiento item_id -> modelo/condicion/escenario/par/brazo/claves logicas,SI (rompe el blinding y revela brazos),public_items.json (textos enmascarados) + HUMAN_VALIDATION_V2_MANIFEST.json (lista de blinding),PRIVADO
Hostinger calificaciones.csv,"domains/ayseltech.com/human_validation_private_v2/calificaciones.csv (fuera de public_html); descargado por el autor 2026-09-07; copia privada local server-private-v2/calificaciones.csv (sha b66d8a3756dc1eb0cb3906299eb01d6e41a160a778d131c8195b977a1d2f9540)",ratings crudos: evaluador_id + item_id + elecciones + flags + segundos + timestamps,SI (datos personales de evaluadores),HUMAN_VALIDATION_V2_AGREEMENT.csv (agregados; Krippendorff y juez-vs-humano ya computados),PRIVADO
Hostinger credenciales FTP/hPanel,sesion anterior (no persistidas por instruccion del usuario),credenciales de acceso al VPS Hostinger,SI,ninguno; re-solicitar al usuario al cerrar la recoleccion,PRIVADO_SESION
.env real (API keys GOOGLE/OPENAI/DEEPSEEK/LMSTUDIO),fuera del repositorio (solo .env.example dentro),claves de API,SI,ninguno; .env.example como plantilla,NUNCA_PUBLICAR
research/fairness-audit/data/private/ (audio, db, raw, whatsapp, local_inventory),fuera de publication-repository,audios institucionales + Oracle + WhatsApp + inventarios operativos,SI,ninguno (data_statement.md documenta la exclusion),PRIVADO
research/fairness-audit/data/voice/killkan/,fuera de publication-repository (solo killkan_manifest.csv con hash),audio publico del dataset Killkan TEST (CC-BY-4.0),no se vendeoriza; se descarga de la fuente,manifest con SHA-256 + SOURCES.md,COPYRIGHT_THIRD_PARTY
research/fairness-audit/models/ (GGUF descargados),fuera de publication-repository,pesos de modelos descargados,SI,SOURCES.md + lmstudio_model_freeze_20260905.json (hash del artefacto),PRIVADO
audios privados institucionales (718 archivos),fuera del repositorio,audio de clientes,SI,ninguno,NUNCA_PUBLICAR
datos Oracle / FitBank / SATJE,fuera del repositorio,datos operativos de clientes,SI,ninguno (los escenarios son sinteticos),NUNCA_PUBLICAR
PDFs de literatura de terceros,no presentes en el paquete (verificado),literatura de terceros con derechos,no redistribuir,citas bibliograficas con DOI (MASTER_REFERENCES_MAP.csv),NUNCA_PUBLICAR
reasoning_content (DeepSeek/Gemini),no persistido por diseno en ningun ledger,razonamiento interno del modelo,SI (politica del protocolo),solo conteos de tokens de reasoning,PRIVADO
