ref_id,classification,filename,authors,year,title,journal_or_conference,volume,issue,pages,doi,url,publisher,document_type,topic,relevance_to_current_article,claims_supported,primary_source_verified,doi_verified,ieee_reference,notes
R01,BACKGROUND,1-s2.0-S0016718521003183-main.pdf,Stefanos Ioannou; Dariusz Wójcik,2022,The limits to FinTech unveiled by the financial geography of Latin America,Geoforum,128,,57-67,10.1016/j.geoforum.2021.11.020,https://doi.org/10.1016/j.geoforum.2021.11.020,Elsevier,journal_article,"FinTech, geografía financiera, América Latina",FinTech growth and financial-inclusion/regulation context for Latin American credit markets; could support background claims about digital lending expansion and exclusion that motivate fairness auditing of credit and debt-collection algorithms.,C-28 (contexto FinTech LatAm),YES,YES,"S. Ioannou and D. Wójcik, “The limits to FinTech unveiled by the financial geography of Latin America,” Geoforum, vol. 128, pp. 57–67, 2022, doi: 10.1016/j.geoforum.2021.11.020.",
R02,SUPPORTING,1-s2.0-S0040162523006066-main.pdf,Chia-Ying Li; Yu-Hui Fang; Yu-Hung Chiang,2023,Can AI chatbots help retain customers? An integrative perspective using affordance theory and service-domain logic,Technological Forecasting & Social Change,197,,122921,10.1016/j.techfore.2023.122921,https://doi.org/10.1016/j.techfore.2023.122921,Elsevier,journal_article,"Chatbots bancarios, retención, affordance theory",Empirical SEM evidence (405 banking chatbot users) on chatbot affordances and customer retention in banking; supports claims about deployment and perception of AI chatbots in financial customer service that frame LLM-based debt-collection communication.,C-04; C-05,YES,YES,"C.-Y. Li, Y.-H. Fang, and Y.-H. Chiang, “Can AI chatbots help retain customers? An integrative perspective using affordance theory and service-domain logic,” Technological Forecasting & Social Change, vol. 197, Art. no. 122921, 2023, doi: 10.1016/j.techfore.2023.122921.",Hint 'Li & Fang' is incomplete: the PDF and Crossref print three authors (Chiang Yu-Hung third).
R03,SUPPORTING,1-s2.0-S0148296323001960-main.pdf,"Mariani, M. M.; Hashemi, N.; Wirtz, J.",2023,Artificial intelligence empowered conversational agents: a systematic literature review and research agenda,Journal of Business Research,161,,113838,10.1016/j.jbusres.2023.113838,https://doi.org/10.1016/j.jbusres.2023.113838,Elsevier,journal_article,"Agentes conversacionales, SLR, investigación de consumo",Systematic review and research agenda of AI-powered conversational agents; supports claims about the state of research and deployment of LLM-powered conversational agents in service and financial contexts (relevant to chatbots used in collections).,C-05; C-13,YES,YES,"M. M. Mariani, N. Hashemi, and J. Wirtz, “Artificial intelligence empowered conversational agents: A systematic literature review and research agenda,” Journal of Business Research, vol. 161, Art. no. 113838, 2023, doi: 10.1016/j.jbusres.2023.113838.","File is the University of Reading CentAUR repository deposit record (wrapper + article PDF), not the Elsevier typeset version; bibliographic details agree with Crossref."
R04,BACKGROUND,1-s2.0-S0148296323008536-main.pdf,Hui Zhu; Olli Vigren; Inga-Lill Söderberg,2024,Implementing artificial intelligence empowered financial advisory services: A literature review and critical research agenda,Journal of Business Research,174,,114494,10.1016/j.jbusres.2023.114494,https://doi.org/10.1016/j.jbusres.2023.114494,Elsevier,journal_article,"Robo-advisors, servicios financieros, service robots",Literature review of AI-empowered financial advisory services (robo-advisors substituting for human advisors); background for claims about AI automation of customer-facing financial services and its open issues.,C-06; C-10; C-11,YES,YES,"H. Zhu, O. Vigren, and I.-L. Söderberg, “Implementing artificial intelligence empowered financial advisory services: A literature review and critical research agenda,” Journal of Business Research, vol. 174, Art. no. 114494, 2024, doi: 10.1016/j.jbusres.2023.114494.","DIRECT para C-11: texto menciona requisitos regulatorios de “data security, customer privacy, and non-discrimination of customers” y transparencia de algoritmos como prerrequisito. | Filename PII year 2023 vs cover/Crossref year 2024 (the DOI string itself embeds 2023); expected discrepancy - the cover of record is 2024."
R05,SUPPORTING,1-s2.0-S0167268122001329-main.pdf,Felix Holzmeister; Jürgen Huber; Michael Kirchler; Rene Schwaiger,2022,Nudging debtors to pay their debt: Two randomized controlled trials,Journal of Economic Behavior and Organization,198,,535-551,10.1016/j.jebo.2022.04.006 | 10.1257/rct.5023-1.0 | 10.1257/rct.5441-1.0,https://doi.org/10.1016/j.jebo.2022.04.006,Elsevier,journal_article,"Cobranza, nudging, RCT, deudores","Two large RCTs with a private debt-collection agency (76,000 debtors): nudges were largely ineffective and tended to backfire; key empirical evidence for claims about the limits of behavioral communication interventions with debtors, against which LLM-based collection approaches are contrasted.",C-04; C-29,YES,YES,"F. Holzmeister, J. Huber, M. Kirchler, and R. Schwaiger, “Nudging debtors to pay their debt: Two randomized controlled trials,” Journal of Economic Behavior & Organization, vol. 198, pp. 535–551, 2022, doi: 10.1016/j.jebo.2022.04.006.","El PDF imprime además 2 DOIs de prerregistro AEA RCT (10.1257/rct.5023-1.0 y 10.1257/rct.5441-1.0): no son el DOI del artículo; citar solo el DOI de JEBO. | Three DOIs are printed in the PDF: the article DOI 10.1016/j.jebo.2022.04.006 (validated) plus two AEA RCT registry preregistration DOIs, 10.1257/rct.5023-1.0 (Study 1) and 10.1257/rct.5441-1.0 (Study 2), printed in the acknowledgement footnote; the OSF repository link (osf.io/7dnkw) is not a DOI."
R06,BACKGROUND,1-s2.0-S0313592622001084-main.pdf,Lei Chang; Xiaojun Gan; Muhammad Mohsin,2022,Studying corporate liquidity and regulatory responses for economic recovery in COVID-19 crises,Economic Analysis and Policy,76,,211-225,10.1016/j.eap.2022.07.004,https://doi.org/10.1016/j.eap.2022.07.004,Elsevier,journal_article,"Liquidez corporativa, COVID-19, regulación","Corporate solvency/default risk of EU firms under COVID-19 stress scenarios - only macro debt/default context; no AI, LLM or fairness content. Marginal for an LLM fairness-audit article; at most a background citation on default/insolvency drivers.",C-03 (apoyo débil),YES,YES,"L. Chang, X. Gan, and M. Mohsin, “Studying corporate liquidity and regulatory responses for economic recovery in COVID-19 crises,” Economic Analysis and Policy, vol. 76, pp. 211–225, 2022, doi: 10.1016/j.eap.2022.07.004.","Title/authors were missing in the prior inventory; restored from the PDF (Chang, Gan, Mohsin)."
R07,SUPPORTING,1-s2.0-S0969698923000115-main.pdf,Chia-Ying Li; Jin-Ting Zhang,2023,Chatbots or me? Consumers' switching between human agents and conversational agents,Journal of Retailing and Consumer Services,72,,103264,10.1016/j.jretconser.2023.103264,https://doi.org/10.1016/j.jretconser.2023.103264,Elsevier,journal_article,"Cambio humano→agente conversacional, banca","Determinants (low empathy/adaptability as push, connectivity/visibility as pull) of consumers switching from human agents to AI chatbots in banking (441 users); supports claims about chatbot-mediated customer communication and agent substitution in financial services.",C-04; C-05,YES,YES,"C.-Y. Li and J.-T. Zhang, “Chatbots or me? Consumers’ switching between human agents and conversational agents,” Journal of Retailing and Consumer Services, vol. 72, Art. no. 103264, 2023, doi: 10.1016/j.jretconser.2023.103264.",Hint 'Li et al.' is imprecise: the PDF and Crossref print exactly two authors (Chia-Ying Li; Jin-Ting Zhang).
R08,BACKGROUND,1-s2.0-S096969892300187X-main.pdf,Ihsan Ullah Jan; Seonggoo Ji; Changju Kim,2023,What (de) motivates customers to use AI-powered conversational agents for shopping? The extended behavioral reasoning perspective,Journal of Retailing and Consumer Services,75,,103440,10.1016/j.jretconser.2023.103440,https://doi.org/10.1016/j.jretconser.2023.103440,Elsevier,journal_article,"Uso/resistencia a CAs, BRT, voz y texto","Usage drivers and reasons for resistance to text- vs voice-based AI agents (retail/shopping, South Korea); background on consumer acceptance/resistance of conversational AI; not debt-collection specific.",C-05,YES,YES,"I. U. Jan, S. Ji, and C. Kim, “What (de)motivates customers to use AI-powered conversational agents for shopping? The extended behavioral reasoning perspective,” Journal of Retailing and Consumer Services, vol. 75, Art. no. 103440, 2023, doi: 10.1016/j.jretconser.2023.103440.",
R09,REMOVE,1-s2.0-S1755581722001742-main.pdf,P. Nunes; J. Santos; E. Rocha,2023,Challenges in predictive maintenance – A review,CIRP Journal of Manufacturing Science and Technology,40,,53-67,10.1016/j.cirpj.2022.11.004,https://doi.org/10.1016/j.cirpj.2022.11.004,Elsevier,journal_article,Mantenimiento predictivo (OFF_TOPIC),"OFF_TOPIC: predictive maintenance of industrial equipment (sensor data, prognostics, anomaly detection); no finance, debt collection, LLM or fairness content. Suggest REMOVE from the catalog.",,YES,YES,,"Fuera de tema (mantenimiento predictivo industrial). NO CITAR en el manuscrito. Año correcto: 2023 (no 2022). | Hint expected volume year 2022, but both the PDF header and Crossref print 2023 (the DOI string embeds 2022; article available online 23 Nov 2022) - correct the hint. | Unrelated to the corpus theme; suggested REMOVE."
R10,BACKGROUND,1-s2.0-S2590005625000268-main.pdf,Soodeh Hosseini; Hossein Seilani,2025,The role of agentic AI in shaping a smart future: A systematic review,Array,26,,100399,10.1016/j.array.2025.100399,https://doi.org/10.1016/j.array.2025.100399,Elsevier,journal_article,"IA agéntica, revisión","Narrative review of agentic AI (autonomy, reactivity, proactivity; LangChain/CrewAI/AutoGen) and its challenges including privacy and ethics; background for claims about autonomous LLM agents deployed in organizations/finance and their governance concerns.",C-13,YES,YES,"S. Hosseini and H. Seilani, “The role of agentic AI in shaping a smart future: A systematic review,” Array, vol. 26, Art. no. 100399, 2025, doi: 10.1016/j.array.2025.100399.",
