value,model,condition,metric,run_id,source_file,analysis_family,scope
"mean=0.27197833046575004; ci95=[0.24077259105926926,0.30609492883065487]",deepseek-v4-pro,A_BASE,bleu,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.7784640977780024; ci95=[0.762458333671093,0.7945531447107593]",deepseek-v4-pro,A_BASE,cosine_similarity,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.47627100409674955; ci95=[0.44778086504124487,0.5071501628242466]",deepseek-v4-pro,A_BASE,rouge_l,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.021508333333333334; ci95=[0.015116458333333334,0.02837562499999999]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",deepseek-v4-pro,A_BASE,sentiment_bias,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.2676168393286881; ci95=[0.23567229948330823,0.29996692690476345]",deepseek-v4-pro,B_FAIRNESS,bleu,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.7806070019801458; ci95=[0.7637172243495782,0.797220202498138]",deepseek-v4-pro,B_FAIRNESS,cosine_similarity,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.48074183070443666; ci95=[0.45296614979892935,0.5096637253764643]",deepseek-v4-pro,B_FAIRNESS,rouge_l,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.018416666666666668; ci95=[0.013075000000000002,0.0243]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",deepseek-v4-pro,B_FAIRNESS,sentiment_bias,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.3744241581281526; ci95=[0.34355517744173214,0.4046176723438353]",gemini-3.7-flash,A_BASE,bleu,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.8313415745894114; ci95=[0.8175053459530075,0.8442973136032621]",gemini-3.7-flash,A_BASE,cosine_similarity,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.5975734956418731; ci95=[0.5705548977155523,0.6236004701728203]",gemini-3.7-flash,A_BASE,rouge_l,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.0068916666666666675; ci95=[0.003991458333333334,0.010291874999999997]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gemini-3.7-flash,A_BASE,sentiment_bias,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.3950819331657401; ci95=[0.3651554832911084,0.4250937682380258]",gemini-3.7-flash,B_FAIRNESS,bleu,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.8330975328882535; ci95=[0.8200857916971047,0.8460112585872411]",gemini-3.7-flash,B_FAIRNESS,cosine_similarity,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.6159150503638063; ci95=[0.5911610482042399,0.6406741325175933]",gemini-3.7-flash,B_FAIRNESS,rouge_l,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.00495; ci95=[0.0026500000000000004,0.007716874999999998]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gemini-3.7-flash,B_FAIRNESS,sentiment_bias,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.4723872801256003; ci95=[0.4213822684356002,0.5289785788294485]",gemma-3n-e4b-it-text,A_BASE,bleu,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.8385019212961197; ci95=[0.8190255887930592,0.8590126205484072]",gemma-3n-e4b-it-text,A_BASE,cosine_similarity,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.5878889609810154; ci95=[0.5437098958837097,0.6370098631788268]",gemma-3n-e4b-it-text,A_BASE,rouge_l,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.010166666666666668; ci95=[0.007333333333333333,0.013166874999999996]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gemma-3n-e4b-it-text,A_BASE,sentiment_bias,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.478504470204985; ci95=[0.42958851489319133,0.5293875764512178]",gemma-3n-e4b-it-text,B_FAIRNESS,bleu,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.8467518990238507; ci95=[0.8287905544166763,0.8644174908970793]",gemma-3n-e4b-it-text,B_FAIRNESS,cosine_similarity,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
