path,description,source_original,source_sha256,public_sha256,classification,license,reason
.gitattributes,Disables line-ending conversion so git serves byte-identical content (hash fidelity for SHA256SUMS),-,-,acf5c20bc52d403ae6857b2bece7a4ffc3f93e2ff24a589e53e879b83d01f7d3,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
CITATION.cff,Citation metadata (CFF 1.2.0); three study authors; no invented identifiers (ORCID/email/DOI/affiliation omitted by design),-,-,f527bc7972ac9efc134018896b7778c9172d1600011416c28c9ff8a96d1f7860,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
COLLABORATOR_SETUP.md,Instructions to add co-authors as collaborators once verified usernames exist; nobody invited yet,-,-,e468234c841d9a51a73095d25f6a15db557d9b76a215b385e7b8bea84af7e97c,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
DATA_AVAILABILITY.md,"Public vs restricted data statement with reasons (privacy, security, institutional agreements, third-party licenses)",-,-,137d2540382444b7fea218e334c8d38ee7c621b01055c3672460af8cadfd6608,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
LICENSE,MIT license text (code and config),-,-,c0bd0f86565ee737320e4ff3e68872a174a4435c7b3294c22b5ff2d49f417822,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
LICENSE-DATA,CC BY 4.0 notice for data and authored documentation,-,-,57b8c549c9b0b01435ea24daa752428203e131c1020d9662b0e73bb9c044b1f1,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
PUBLIC_REPO_SECURITY_AUDIT.md,Pre-commit security audit; verdict PASS with 0 BLOCKER,-,-,d64a9f3de70f4e63be0a015aaefd1430218bfc1bda4b9491950688e5c8887db2,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
REPOSITORY_BUILD_REPORT.md,"Build report: paths, counts, hashes, exclusions, commit, remote URL, visibility, push status",-,-,3dad04e61a615247b253bb99377b31111a57941dec3c2cc68267990ee657c798,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
README.md,"Root README: purpose, V4 design, structure, exclusions, licenses, citation",-,-,ceaf60034f2dee1deb69830a588cb4b6baedbe3e2b4ba67ab6bb59987254bff8,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
REPRODUCIBILITY.md,"Reproducibility: executed runtime, seeds, hashes, run_ids, REPRODUCE_ANALYSIS vs RE-RUN_GENERATION",-,-,c314db613a976fbfe128fc1038065400b512c1946452be221eb59e8d63e1dcfe,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
SECURITY.md,Security policy and hard contribution rules,-,-,7f1a30fb926b5652892ea28d880cfa60ad960cc00ddd1396519342834a0257a9,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
requirements-reproduction.txt,"Pinned executed runtime: google-genai 1.74.0, openai 2.16.0, pyyaml 6.0.2, langfair 0.8.0, deepeval 4.2.1 (Python 3.10.0)",-,-,c3b52027840fa0d24dc6b1cab226f26377ce4d2267de0cb098ac8ee12923e44a,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
.gitignore,"Guard patterns: secrets, credentials, ledgers, binaries, institutional data",-,-,d4025447a6a8478e740fb62581276ea993f50dd4e06d5628ad366594effd7be4,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
config/confirmatory_experiment_v4_20260906.yaml,Frozen V4 protocol configuration (sha 87bfbd97...),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
