claim_id,section,claim_text,current_cited_reference_ids,support_classification,verification_evidence_full_text,replacement_reference_ids,backup_reference_ids,evidence_strength,what_rejected_ref_supports,notes
C-01,1.1 / 2.3,El SFPS cumple un rol determinante en la inclusión financiera y el desarrollo de comunidades rurales excluidas de la banca comercial,[1] (R26); [2] (R82),DIRECT_SUPPORT,"R26: “savings and credit cooperatives are a key channel for promoting financial inclusion” (texto completo, sección introductoria). R82: revisión crítica de responsabilidad social de cooperativas latinoamericanas (205 menciones a cooperativas/credit union).",,,STRONG,,Mantener [1][2].
C-02,1.1,Las cooperativas enfrentan tensión entre objetivos sociales (solidaridad/equidad) y viabilidad económico-financiera,[1] (R26); [2] (R82),DIRECT_SUPPORT,R26: analiza la sostenibilidad financiera frente a la función social (inclusión + microcrédito) de las cooperativas de ahorro y crédito ecuatorianas. R82: doble objetivo social/financiero de credit unions latinoamericanas.,,,STRONG,,Mantener.
C-03a,1.1,"La acumulación de cartera vencida (NPL) compromete liquidez, rentabilidad y capacidad de reinversión social",[3] (R45),PARTIAL_SUPPORT,"R45 estudia determinantes de riesgo de crédito bancario en mercados emergentes: respalda el vínculo NPL→riesgo para BANCOS, pero no cubre cooperativas SFPS ni Ecuador.",R29,R40; R47,MEDIUM,R45 respalda: determinantes de riesgo de crédito en mercados emergentes (banca).,"Reemplazar o complementar [3] con R29 (factores psicológicos y riesgo de crédito) y R47 (repago, Colombia)."
C-03b,1.1,La SEPS exige provisión líquida del 100% para mora >90 días (cifras 40–60 de 1200 socios/día),[3] (R45),NO_SUPPORT,"Texto completo de R45: 0 coincidencias de “SEPS”, “provision” o “Ecuador”. La cita no respalda la afirmación regulatoria ni las cifras internas.",EXTERNO: resolución de provisiones de la SEPS (fuente normativa oficial),R40,GAP,R45 respalda: riesgo de crédito bancario (C-03a).,Las cifras internas deben validarse con el área financiera de la cooperativa. No citar [3] aquí.
C-04,1.1 / 2.3,"La gestión de cobranza tradicional es manual, costosa y demandante en RRHH, restringiendo la cobertura",[4] (R30); [5] (R51),DIRECT_SUPPORT,"R51: “manual, expert-based approaches to debt collection have long dominated” / “traditional debt collection practices are labor-intensive”. R30: describe actualización manual de intents y límites de chatbots tradicionales en cobranza.",,R81,STRONG,,Mantener [4][5].
C-05,1.1 / 2.3,La integración de IA/LLMs es una oportunidad para automatizar el contacto y optimizar la recuperación,[4] (R30); [5] (R51); [6] (R36),PARTIAL_SUPPORT,R30 y R51: DIRECT (chatbot de cobranza con LLM; sistema DSR de cobranza). R36: texto completo de ética/privacidad/confianza en fintech sin contenido de automatización de cobranza (manual_collection≈0) → NO respalda esta afirmación.,R53 (FinTech review),R33,STRONG,R36 respalda: consideraciones éticas y de privacidad en fintech (C-06/C-08/C-11/C-17).,Quitar [6] de esta frase y dejar R30/R51; añadir R53 si se quiere reforzar.
C-06,1.1 / 2.3,La adopción sin control ético y metodológico introduce riesgos operacionales y humanos,[7] (R20); [8] (R49); [9] (R57),PARTIAL_SUPPORT,"R20: nombra “huge ethical and governance concerns… accountability, fairness, value alignment” → respalda el enunciado de riesgos éticos, no evidencia empírica. R49: opacidad/explicabilidad como limitación (203 menciones transparencia/XAI). R57: riesgos de confianza. Ninguno documenta riesgos de cobranza con LLM.",R58; R36,R32 (CFPB); R41,STRONG,—,Reordenar: R58 (regulación IA en servicios financieros) y R36 como primarias; R20/R57 como contexto.
C-07,1.1 / 2.3,"Los algoritmos entrenados con datos históricos tienden a codificar, perpetuar y amplificar sesgos y desigualdades estructurales",[5] (R51); [7] (R20); [10] (R25),NO_SUPPORT,R51: DSR de cobranza; no estudia amplificación de sesgo. R20: asevera “bias propagation and amplification present a unique challenge” sin estudiarlo (survey agéntico). R25: asevera “agentic AI systems may replicate and exacerbate biases” sin estudiarlo. Regla de auditoría: refs de agentic AI/diseño de sistemas no sirven como evidencia de esta afirmación.,"R84 (Vieira et al. 2025, SLR sesgo en crédito, 10.3390/jrfm18050228); R85 (Mehrabi et al. 2021, 10.1145/3457607)","R13 (Fu et al., ISR — empírico de sesgo en ML de crédito); R55; R86 (Blodgett 2020)",GAP CRÍTICO,R51 respalda: cobranza manual/DSR (C-04/C-26). R20 respalda: taxonomía de agentes (C-13). R25 respalda: taxonomía de agentes (C-13).,"Sustituir las tres citas. Prioridad: 1) paper original del método/survey especializado (Mehrabi), 2) SLR de alta calidad en crédito (Vieira), 3) empírico directo (R13). No duplicar V4[13][14][15] (An/Nghiem/Pawar)."
C-08,1.1 / 2.3,Riesgo legal y reputacional: trato discriminatorio sistemático y sanciones LOPDP (hasta 1% de facturación),(sin cita),NO_SUPPORT,La frase no tiene cita en el párrafo 0073/0088.,R58; R36; EXTERNO: texto de la LOPDP (norma jurídica),R32 (CFPB),MEDIUM,—,"La LOPDP y su régimen sancionatorio se citan como fuente legal, no como paper. R32 muestra el precedente internacional de supervisión de chatbots financieros."
C-09,1.1 / 2.3,El sesgo se manifiesta cuando los modelos asocian características sociodemográficas con mayor riesgo de impago → disparidades de tono y opciones de negociación,[9] (R57); [11] (R21),NO_SUPPORT,"R57: discute sesgo en IA citando a Mehrabi y ejemplos ajenos (justicia penal, tono de piel); NO estudia sesgo por nombre ni tono en negociación de cobranza. R21: menciones de sesgo en contexto clínico/salud; no trata cobranza.","V4[13] (An et al. 2024 — auditoría por nombre, ya en V4, NO duplicar); R86 (Blodgett 2020)",R55,GAP,R57 respalda: desafíos de confianza/transparencia en IA (C-06/C-10). R21 respalda: asistentes de voz con LLM (C-05).,No reutilizar [9][11] para esta afirmación. Referenciar V4[13] directamente o proponer Blodgett como nuevo.
C-10,1.1 / 2.3,La falta de transparencia/explicabilidad de cajas negras dificulta detectar anomalías,[9] (R57); [12] (R04); [13] (R58),PARTIAL_SUPPORT,"R04: “demonstrating the transparency of algorithms is a prerequisite” en servicios financieros regulados. R57: 179 menciones de transparencia. R58: transparencia dentro del marco regulatorio. Cubren el punto, pero la fuente especializada es R49 (XAI en finanzas), hoy citada como [8] en otra frase.",R49 (reubicar [8] aquí),R39,STRONG,—,Reordenar: [8] XAI finance es la cita primaria de esta frase.
C-11,1.1 / 2.3,"La automatización descontrolada violaría principios cooperativos y normativas de protección de datos, no discriminación y trato justo",[6] (R36); [12] (R04); [14] (R33),DIRECT_SUPPORT,"R36: marco ético/privacidad en fintech (DIRECT). R04: “stringent regulatory requirements… data security, customer privacy, and non-discrimination of customers” (DIRECT). R33: debates éticos/regulatorios de IA generativa (PARTIAL).",,R82; R32,STRONG,,Mantener; R82 refuerza el principio cooperativo.
C-12,2.4 Método,Fundamento teórico: Teoría de la Equidad Contrafáctica (Counterfactual Fairness),(sin cita),NO_SUPPORT,La definición del párrafo 0093 no cita ninguna fuente.,"V4[12] (Kusner et al. — Counterfactual Fairness; ya en V4, NO duplicar)",R13,GAP,—,"Citar la fuente seminal del método (paper original). R13 apoya el contexto de sesgo en crédito, no la definición."
C-13,2.4 Método,Selección de 5 modelos (comerciales black-box + open-source white-box) para contrastar arquitectura y prevalencia de sesgo,(sin cita),NO_SUPPORT,El párrafo 0094 no cita fuentes que justifiquen el diseño multimodelo.,R20; R25,R50; R10,MEDIUM,—,Las taxonomías de modelos/agentes respaldan la comparación multimodelo (uso nuevo y válido de R20/R25).
C-14,2.4 Método,Dataset de apellidos (pares kichwa/castellano) como proxy del atributo protegido,(sin cita),NO_SUPPORT,El párrafo 0096 describe el catálogo de apellidos sin citar su fuente.,EXTERNO SEPARADO: FRECUENCIA → INEC/DIGERCIC (administrativa verificable); ASOCIACIÓN CULTURAL/ONOMÁSTICA → investigaciones académicas (p. ej. UPS),,GAP — REGLA: frecuencia ≠ etnia,—,Ambas fuentes fuera del corpus y separadas en el manuscrito. Pendiente de autorización.
C-15,2.4 Método,DeepEval como framework NLP para clasificar severidad del tono y empatía,(sin cita),NO_SUPPORT,El párrafo 0098 describe DeepEval sin cita.,"V4[17] (G-Eval; ya en V4, NO duplicar)",,GAP,—,La documentación de DeepEval NO es evidencia científica (solo productos/APIs). Citar el paper del método.
C-16,2.4 Método,LangFair para índices de equidad contrafáctica y paridad estadística,(sin cita),NO_SUPPORT,El párrafo 0099 describe LangFair sin cita.,"V4[16] (LangFair; ya en V4, NO duplicar)",,GAP,—,Ídem.
C-17,2.4 Método,"Privacidad por diseño (LOPDP): perfiles sintéticos, minimización, bloqueo de transferencia internacional",(sin cita),NO_SUPPORT,El párrafo 0112 no cita fuentes.,R36; EXTERNO: LOPDP,R28 (candidata),MEDIUM,—,R36 respalda directamente el marco de privacidad/ética en fintech.
C-18,2.4 Método,Documentación ética con Model Cards y Datasheets,(sin cita),NO_SUPPORT,El párrafo 0114 menciona Model Cards y Datasheets sin citar sus papers originales.,EXTERNO-PENDIENTE: Mitchell et al. 2019 (Model Cards); Gebru et al. 2021 (Datasheets),,GAP,—,No están en la lista de candidatos aprobados — proponer al autor antes de agregar.
C-19,2.5 Resultados,"Condición A: disparidad sistemática y significativa contra apellidos kichwa (>15% LangFair; más severidad, menos empatía y flexibilidad)",RESULTADO PROPIO,—,Resultado experimental del estudio; no es afirmación de literatura.,R13; R55 (marco interpretativo),V4[13] (contexto),EXPERIMENTAL,,No sustituir por literatura; citar como propio y contrastar en Discusión.
C-20,2.5 / 2.6,Condición B: el prompting es frágil e insuficiente; “corrobora investigaciones previas”,“investigaciones previas” (0160) sin cita,NO_SUPPORT,La afirmación de corroboración con la literatura no cita ninguna fuente específica.,"V4[15] (Pawar et al. 2025 — prompt-based mitigation; ya en V4, NO duplicar)",R55,GAP,—,Resultado propio respaldado; falta la cita de la literatura de mitigación por prompting.
C-21,2.5 Resultados,Condición C: arquitectura determinista-generativa con tokenización elimina la disparidad (<5% piloto; 0% fuga),RESULTADO PROPIO,—,Resultado experimental del estudio.,R36 (minimización); R51 (DSR como marco de diseño),,EXPERIMENTAL,,—
C-22,2.5 / 2.6,"Piloto kichwa: 0% comprensión, WER 66,5%, 100% fallback humano",RESULTADO PROPIO,—,Resultado experimental del estudio.,EXTERNO-PENDIENTE: ASR lenguas de bajos recursos / code-switching (p. ej. Winata et al.; literatura Whisper multilingüe),,EXPERIMENTAL + GAP,,Nada en el corpus cubre ASR de lenguas indígenas — búsqueda externa requerida.
