section,metric,stat,value,n_units,n_raters,mode,note
Krippendorff,severidad,alpha_ordinal,0.01924508799130964,90,7,COMPLETE_ONLY,análisis primario; degenerado=False
Acuerdo,severidad,pairwise_exact,0.39947089947089925,90,7,COMPLETE_ONLY,análisis primario
Acuerdo,severidad,majority_share,0.5888888888888889,90,7,COMPLETE_ONLY,análisis primario
Acuerdo,severidad,unanimity_rate,0.022222222222222223,90,7,COMPLETE_ONLY,análisis primario
Krippendorff,empatia,alpha_ordinal,-0.01447600297078755,90,7,COMPLETE_ONLY,análisis primario; degenerado=False
Acuerdo,empatia,pairwise_exact,0.3793650793650789,90,7,COMPLETE_ONLY,análisis primario
Acuerdo,empatia,majority_share,0.5666666666666668,90,7,COMPLETE_ONLY,análisis primario
Acuerdo,empatia,unanimity_rate,0.03333333333333333,90,7,COMPLETE_ONLY,análisis primario
Krippendorff,calidad_servicio,alpha_ordinal,0.025626951600312586,90,7,COMPLETE_ONLY,análisis primario; degenerado=False
Acuerdo,calidad_servicio,pairwise_exact,0.3994708994708992,90,7,COMPLETE_ONLY,análisis primario
Acuerdo,calidad_servicio,majority_share,0.5857142857142856,90,7,COMPLETE_ONLY,análisis primario
Acuerdo,calidad_servicio,unanimity_rate,0.022222222222222223,90,7,COMPLETE_ONLY,análisis primario
Krippendorff,threat_or_legal_escalation,alpha_nominal,-0.0031872509960160222,180,7,COMPLETE_ONLY,análisis primario; degenerado=False
Flags,threat_or_legal_escalation,prevalencia_humana,0.003968253968253968,180,7,COMPLETE_ONLY,análisis primario
Krippendorff,humiliation_hostility_coercion_or_guilt,alpha_nominal,-0.11246764237356621,180,7,COMPLETE_ONLY,análisis primario; degenerado=False
Flags,humiliation_hostility_coercion_or_guilt,prevalencia_humana,0.11428571428571428,180,7,COMPLETE_ONLY,análisis primario
Krippendorff,invented_amount_date_discount_refinancing_or_agreement,alpha_nominal,-0.0015543153669166365,180,7,COMPLETE_ONLY,análisis primario; degenerado=False
Flags,invented_amount_date_discount_refinancing_or_agreement,prevalencia_humana,0.01746031746031746,180,7,COMPLETE_ONLY,análisis primario
Krippendorff,privacy_or_identity_confirmation_failure,alpha_nominal,-0.007623201744733299,180,7,COMPLETE_ONLY,análisis primario; degenerado=False
Flags,privacy_or_identity_confirmation_failure,prevalencia_humana,0.03253968253968254,180,7,COMPLETE_ONLY,análisis primario
Krippendorff,ignored_stop_contact_or_human_advisor_request,alpha_nominal,0.0038564094896323953,180,7,COMPLETE_ONLY,análisis primario; degenerado=False
Flags,ignored_stop_contact_or_human_advisor_request,prevalencia_humana,0.03492063492063492,180,7,COMPLETE_ONLY,análisis primario
Krippendorff,severidad,alpha_ordinal,0.007589523968554834,90,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Acuerdo,severidad,pairwise_exact,0.401543209876543,90,10,ALL_RATERS,sensibilidad predeclarada
Acuerdo,severidad,majority_share,0.5864858906525572,90,10,ALL_RATERS,sensibilidad predeclarada
Acuerdo,severidad,unanimity_rate,0.022222222222222223,90,10,ALL_RATERS,sensibilidad predeclarada
Krippendorff,empatia,alpha_ordinal,-0.008788963189559684,90,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Acuerdo,empatia,pairwise_exact,0.38267195767195744,90,10,ALL_RATERS,sensibilidad predeclarada
Acuerdo,empatia,majority_share,0.5662918871252207,90,10,ALL_RATERS,sensibilidad predeclarada
Acuerdo,empatia,unanimity_rate,0.03333333333333333,90,10,ALL_RATERS,sensibilidad predeclarada
Krippendorff,calidad_servicio,alpha_ordinal,0.02761315376399609,90,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Acuerdo,calidad_servicio,pairwise_exact,0.39872134038800694,90,10,ALL_RATERS,sensibilidad predeclarada
Acuerdo,calidad_servicio,majority_share,0.5830026455026456,90,10,ALL_RATERS,sensibilidad predeclarada
Acuerdo,calidad_servicio,unanimity_rate,0.011111111111111112,90,10,ALL_RATERS,sensibilidad predeclarada
Krippendorff,threat_or_legal_escalation,alpha_nominal,-0.0030464584920031346,180,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Flags,threat_or_legal_escalation,prevalencia_humana,0.0037936267071320183,180,10,ALL_RATERS,sensibilidad predeclarada
Krippendorff,humiliation_hostility_coercion_or_guilt,alpha_nominal,-0.10622515616128125,180,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Flags,humiliation_hostility_coercion_or_guilt,prevalencia_humana,0.10925644916540213,180,10,ALL_RATERS,sensibilidad predeclarada
Krippendorff,invented_amount_date_discount_refinancing_or_agreement,alpha_nominal,-0.0022494544233679914,180,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Flags,invented_amount_date_discount_refinancing_or_agreement,prevalencia_humana,0.017450682852807285,180,10,ALL_RATERS,sensibilidad predeclarada
Krippendorff,privacy_or_identity_confirmation_failure,alpha_nominal,-0.005145695324752397,180,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Flags,privacy_or_identity_confirmation_failure,prevalencia_humana,0.04324734446130501,180,10,ALL_RATERS,sensibilidad predeclarada
Krippendorff,ignored_stop_contact_or_human_advisor_request,alpha_nominal,0.001253683611277867,180,10,ALL_RATERS,sensibilidad predeclarada; degenerado=False
Flags,ignored_stop_contact_or_human_advisor_request,prevalencia_humana,0.0409711684370258,180,10,ALL_RATERS,sensibilidad predeclarada
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_A_BASE_A,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_A_BASE_B,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_A_BASE_EMPATE,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_B_FAIRNESS_A,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_B_FAIRNESS_B,9,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_B_FAIRNESS_EMPATE,1,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_A_BASE_A,2,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_A_BASE_B,8,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_A_BASE_EMPATE,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_A,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_B,8,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_EMPATE,1,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_A_BASE_A,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_A_BASE_B,7,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_A_BASE_EMPATE,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_B_FAIRNESS_A,7,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_B_FAIRNESS_B,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_B_FAIRNESS_EMPATE,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_A,11,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_B,14,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemini-3.7-flash_EMPATE,5,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_A,8,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_B,16,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-3n-e4b-it-text_EMPATE,6,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_A,11,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_B,11,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,severidad,n_items_gemma-4-31b-it_EMPATE,8,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_A_BASE_A,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_A_BASE_B,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_A_BASE_EMPATE,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_B_FAIRNESS_A,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_B_FAIRNESS_B,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_B_FAIRNESS_EMPATE,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_A_BASE_A,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_A_BASE_B,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_A_BASE_EMPATE,3,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_A,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_B,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_EMPATE,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_A_BASE_A,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_A_BASE_B,9,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_A_BASE_EMPATE,2,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_B_FAIRNESS_A,7,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_B_FAIRNESS_B,3,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_B_FAIRNESS_EMPATE,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_A,10,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_B,9,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemini-3.7-flash_EMPATE,11,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_A,12,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_B,10,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-3n-e4b-it-text_EMPATE,8,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_A,11,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_B,12,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,empatia,n_items_gemma-4-31b-it_EMPATE,7,30,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemini-3.7-flash_A_BASE_A,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemini-3.7-flash_A_BASE_B,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemini-3.7-flash_A_BASE_EMPATE,4,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemini-3.7-flash_B_FAIRNESS_A,8,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemini-3.7-flash_B_FAIRNESS_B,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemini-3.7-flash_B_FAIRNESS_EMPATE,1,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-3n-e4b-it-text_A_BASE_A,7,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-3n-e4b-it-text_A_BASE_B,7,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-3n-e4b-it-text_A_BASE_EMPATE,1,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_A,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_B,6,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-3n-e4b-it-text_B_FAIRNESS_EMPATE,3,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-4-31b-it_A_BASE_A,5,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-4-31b-it_A_BASE_B,9,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
Preferencia_brazo,calidad_servicio,n_items_gemma-4-31b-it_A_BASE_EMPATE,1,15,7,COMPLETE_ONLY,mayoría humana sobre 7 raters
