claim_id,section,metric,value,unit,n,CI_low,CI_high,p,p_adjusted,effect_size,model,condition,run_id,source_file,source_sha256
P-01,PROTOCOLO,n_escenarios,40,escenarios,40,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-02,PROTOCOLO,n_familias_escenarios,20,familias,40,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-03,PROTOCOLO,n_pares_nominales,3,pares,,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-04,PROTOCOLO,n_brazos_contrafactuales,2,brazos (A/B),,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-05,PROTOCOLO,n_condiciones,3,A_BASE/B_FAIRNESS/C_MASKED,,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-06,PROTOCOLO,n_tareas_A_B_por_modelo,480,tareas,480,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-07,PROTOCOLO,n_tareas_C_por_modelo,80,tareas,80,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-08,PROTOCOLO,n_tareas_por_modelo,560,tareas,560,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-09,PROTOCOLO,n_tareas_totales,2800,tareas,2800,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-10,PROTOCOLO,seed,42,seed,,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-11,PROTOCOLO,temperature,0.0,grados,,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-12,PROTOCOLO,retries_tecnicos_max,2,retries,,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-13,PROTOCOLO,gate_minimo_pair_rate,0.95,tasa,,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-14,PROTOCOLO,fecha_congelacion,2026-09-06,fecha UTC,,,,,,,,,,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
P-15,PROTOCOLO,sha256_scenarios,020f6b569d061b75d956325c2caec9eabf69c7ecc8e04f39a5a66c4b0ec9804b,sha256,,,,,,,,,,publication-repository/data/derived/scenarios_v3.csv,020f6b569d061b75d956325c2caec9eabf69c7ecc8e04f39a5a66c4b0ec9804b
P-16,PROTOCOLO,sha256_surname_pairs,fe4ecd6eb419526c8469aedddd65c75a4a3ec446a408483962bba2deb1b36e5a,sha256,,,,,,,,,,publication-repository/data/derived/surname_pair_provenance_v3.csv,fe4ecd6eb419526c8469aedddd65c75a4a3ec446a408483962bba2deb1b36e5a
